"172.20.162.25","-","-","10","May","2017","00","00","01","","GET /products HTTP/1.0","200","2015","http://www.google.com","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"10.143.138.84","-","-","10","May","2017","00","00","02","","GET /services/turnipwinding HTTP/1.0","200","3125","http://www.google.com","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
"172.17.1.29","-","-","10","May","2017","00","00","03","","GET /careers HTTP/1.0","200","2501","-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
"172.18.236.34","-","-","10","May","2017","00","00","07","","GET /store HTTP/1.0","200","4972","-","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"172.18.60.48","-","-","10","May","2017","00","00","10","","GET /index.html HTTP/1.0","200","2986","http://www.google.com","Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"192.168.2.60","-","-","10","May","2017","00","00","13","","GET /index.html HTTP/1.0","200","2287","-","Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
"10.92.35.201","-","-","10","May","2017","00","00","20","","GET /services/spacetravel HTTP/1.0","200","2394","-","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
"172.17.3.104","-","-","10","May","2017","00","00","22","","GET /index.html HTTP/1.0","200","3325","http://www.google.com","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"10.229.87.208","-","-","10","May","2017","00","00","29","","GET /index.html HTTP/1.0","200","4460","http://www.google.com","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"10.241.44.105","-","-","10","May","2017","00","00","35","","GET /products HTTP/1.0","200","3170","-","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"192.168.228.122","-","-","10","May","2017","00","00","42","","GET /products HTTP/1.0","200","3455","http://www.google.com","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"172.19.155.158","-","-","10","May","2017","00","00","47","","GET /services/spacetravel HTTP/1.0","200","2061","-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
"10.167.105.25","-","-","10","May","2017","00","00","54","","GET /index.html HTTP/1.0","200","4701","-","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"172.28.182.250","-","-","10","May","2017","00","00","57","","GET /favicon.ico HTTP/1.0","200","3070","-","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
"10.203.59.26","-","-","10","May","2017","00","00","57","","GET /index.html HTTP/1.0","200","2090","-","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
"10.22.192.65","-","-","10","May","2017","00","00","59","","GET /products HTTP/1.0","200","4211","-","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
"192.168.199.84","-","-","10","May","2017","00","01","01","","GET /services/spacetravel HTTP/1.0","200","3577","http://www.google.com","Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"10.5.191.241","-","-","10","May","2017","00","01","01","","GET /services/spacetravel HTTP/1.0","200","4024","http://www.google.com","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"192.168.51.79","-","-","10","May","2017","00","01","08","","GET /services HTTP/1.0","200","3387","-","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
"172.30.69.163","-","-","10","May","2017","00","01","15","","GET /favicon.ico HTTP/1.0","200","2727","-","Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
"10.90.123.136","-","-","10","May","2017","00","01","17","","GET /services HTTP/1.0","200","3543","http://www.google.com","Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
"192.168.114.99","-","-","10","May","2017","00","01","19","","GET /index.html HTTP/1.0","200","4847","http://www.google.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
